10000896	8105264
10000896	50607324
10000896	244854
10000896	38486617
10003574	19721752
10003574	71600359
10003574	71677136
10003574	10143849
10022814	16550405
10022814	23312478
10022814	48485056
10022814	75413722
1002727	7671267
1002727	58577191
1002727	6592271
1002727	70719954
1002727	75483951
1002727	78367238
1002727	84106
1002727	65689918
1002727	228829
10035733	31935199
10039650	78010972
10039650	34271856
10039650	19223434
10039650	22780501
10042750	58610296
10042750	75042794
10042750	61517941
10042750	6484879
10042750	31342449
10042750	43190401
10048571	47642497
10048571	65178539
10048571	1854489
1005245	16651993
1005245	69266104
1005245	59859241
1005245	28565750
1006587	47810511
1006587	34546305
1008086	55251937
1008086	38632191
1008086	31410102
1008086	63602887
1008086	75491068
10088632	58477517
10088632	58446141
10088632	34820114
10088632	20721891
10088632	19687018
10093606	67334930
10093606	26881036
10093606	55243749
10093606	36974970
10093606	40843458
10093606	64311305
10093606	72380626
10093606	78083928
10093606	67220492
10093606	30464240
10093606	78230871
10093606	25327211
10093606	54889057
10093606	51184570
10093606	65053770
10093606	69491813
10093606	12185210
10093606	51459879
10093606	51891230
10093606	38498023
10093606	18130309
10093606	58893483
10093606	72536330
10093606	40184239
10093606	41727794
10093606	30625489
10093606	70835697
10093606	76204465
10093606	46408298
10093606	14547982
10093606	24855172
10093606	30522513
10093606	59900336
10093606	61147316
10093606	67519925
10093606	31367077
10093606	64252561
10094753	47529461
10094753	54856484
10094753	6513138
10094753	18723574
10094753	52284643
10098627	32116748
10098627	71305290
10098627	74000920
10098627	29456191
10099755	15882200
10106858	77051687
10111277	31734582
10111277	17264809
1011369	47473201
1011369	56949180
1011369	78159353
1011369	71619675
1011369	74574779
1011369	77105625
1011369	27988173
1011369	29280544
1011369	76985777
10124764	11703581
10143385	74884393
10143385	78449524
10143385	68001943
10143385	49892759
10143385	52739908
10143385	53233541
10143385	52272007
10146828	60436082
10146828	77045726
10146828	49396257
10146828	3982162
10146828	43236491
10166716	37903773
10166716	42487487
10166716	49249792
10166716	60297865
10166716	68660700
10166716	28230705
10166716	38010204
10167271	15307649
10167271	22081854
10167271	78292480
10167271	57240859
10167271	67821596
10167271	66366268
10167271	20320552
10167271	35147493
10167271	12376567
10167271	11267903
10167271	37398736
10167271	74849798
10169589	21711282
10169589	25285990
10169589	41708661
10169589	46279126
10174387	51764010
10174387	10213251
10174387	42794977
